legacyName;futureName;wanIp;internalIp;deviceModel;serialNumber;firmware;address1;address2;postcode;pstn;service;status;passwordLocation;remoteAccess;prtg;syslog
Clydesdale Bank Motherwell;Virgin Money -  Motherwell;94.30.96.76;192.168.45.1 / 255.255.255.0;Bintec RS353a;RNQBBB019080216;V.10.2.6.102;43 Hamilton Road;Motherwell;ML1 3DD;1698263269;FTTC;Online;https://passwordstate.clouddirect.net/pid=20327;Yes;Yes (Ping Only);
Yorkshire Bank Oldham;Virgin Money -  Oldham;77.44.73.29;192.168.46.1 / 255.255.255.0;Bintec RS353a;RNQBBB019080205;V.10.2.6.102;47 Market Place;Oldham;OL1 3AB;1616243269;FTTC;Online;https://passwordstate.clouddirect.net/pid=20328;Yes;Yes (Ping Only);
Clydesdale Bank Peterhead;Virgin_Money-Peterhead;77.44.35.254;192.168.47.1 / 255.255.255.0;DrayTek Vigor2865;221000000000;4.3.2_BT;43 Broad Street;Peterhead;AB42 1JB;1779472517;FTTC;Online;https://passwordstate.clouddirect.net/pid=20329;Yes;Yes (Ping Only);
Yorkshire Bank Rochdale;Virgin Money -  Rochdale;176.35.10.24;192.168.48.1 / 255.255.255.0;Bintec RS353a;RNQBBB019080243;V.10.2.6.102;9/11 Yorkshire Street;Rochdale;OL16 1BL;1706340515;FTTC;Online;https://passwordstate.clouddirect.net/pid=20330;Yes;Yes (Ping Only);
Moortown;Virgin Money - Moortown;176.35.16.245;192.168.49.1 / 255.255.255.0;Bintec RS353a;RNQBBB019080002;V.10.2.6.102;370 Harrogate Road;Leeds;LS17 6QA;1132690573;FTTC;Online;https://passwordstate.clouddirect.net/pid=20331;Yes;Yes (Ping Only);
St Helens;Virgin Money - St Helens;46.247.122.32;192.168.57.1 / 255.255.255.0;Bintec RS353a;RNQBBB019400180;V.10.2.6.102;6 Bridge Street;St Helens;WA10 1NF;1744758177;FTTC;Online;https://passwordstate.clouddirect.net/pid=20332;Yes;Yes (Ping Only);
Stockport;Virgin Money - Stockport;46.247.122.61;192.168.58.1 / 255.255.255.0;Bintec RS353a;RNQBBB019400182;V.10.2.6.102;PO Box 1, 34 Princes St;Stockport;SK1 1SE;161429949;FTTC;Online;https://passwordstate.clouddirect.net/pid=20333;Yes;Yes (Ping Only);
Virgin Money - Leicester;Virgin Money - Leicester;46.247.121.78;192.168.66.1 / 255.255.255.0;Bintec RS353a;RNQFDM020150101;V.10.2.6.100;3 Eastgates;Leicester;LE1 5YA;1162628571;FTTC;Online;https://passwordstate.clouddirect.net/pid=20334;Yes;Yes (Ping Only);
Virgin Money - Sheffield;Virgin Money - Sheffield;46.247.3.30;192.168.71.1 / 255.255.255.0;Draytek Vigor2927;234000000000;4.4.2.2;66 Fargate;Sheffield;S1 2HE;N/A;EFM;Online;https://passwordstate.clouddirect.net/pid=20335;Yes;Yes (Ping Only);
Virgin Money - Nottingham;Virgin Money - Nottingham;46.247.4.58;192.168.72.1 / 255.255.255.0;Bintec RS353a;RNQFDM020150151;V.10.2.6.100;11 Smithy Row;Nottingham;NG1 2AU;FO-SID-318669;LL;Online;https://passwordstate.clouddirect.net/pid=20336;Yes;Yes (Ping Only);
Virgin Money - Gosforth;Virgin Money - Gosforth;46.247.25.153;192.168.77.1 / 255.255.255.0;Bintec RS353a;RNNAAA016380083;V.10.2.10.102;Alnwick Building;Newcastle;NE3 4PL;N/A;LL;Online;https://passwordstate.clouddirect.net/pid=20337;Yes;Yes (Ping Only);
Virgin Money - Doxford;Virgin Money - Doxford;46.247.21.27;192.168.76.1 / 255.255.255.0;bintec  RS353aw;RNRFDN021110222;V.10.2.6.100;Doxford International Business Park, Sunderland, SR3 3XG, United Kingdom (GBR);Sunderland;;10/100 Leased Line;;Online;https://passwordstate.clouddirect.net/pid=20356;Yes;Yes (Ping Only);
Virgin Money Aberdeen;Virgin Money Aberdeen;46.247.26.113;192.168.78.1 / 255.255.255.0;DrayTek Vigor2927;222000000000;4.3.2;St. Nicholas Branch, 62 Union Street;Aberdeen;AB10 1WD;n/a;LL;Online;https://passwordstate.clouddirect.net/pid=20338;Yes;Yes (Ping Only);
Virgin Money  Queens Cross;Virgin Money - Queens Cross;46.247.26.105;192.168.79.1 / 255.255.255.0;DrayTek Vigor2927;225000000000;4.4.0;1 Queen's Cross;ABERDEEN;AB15 4XU;FO-SID-385665;LL;Online;https://passwordstate.clouddirect.net/pid=20339;Yes;Yes (Ping Only);
VM_Glasgow_Queen_Street;Virgin Money - Glasgow;46.247.23.17;192.168.84.1 / 255.255.255.0;Draytek Vigor2927;238000000000;4.4.2.2;145-147 Queen Street, Glasgow, G1 3BJ, United Kingdom (GBR);Glasgow;;;LL;Online;https://passwordstate.clouddirect.net/pid=20359;Yes;Yes (Ping Only);
CYB Leadenhall;Virgin Money - Leadenhall;81.130.154.163;192.168.25.1 / 255.255.255.0;bintec  RS353a;RNQBBB019080252;V.10.2.6.102;EC3V 4PT;EC3V 4PT;;;;Online;https://passwordstate.clouddirect.net/pid=20358;No;Yes (Ping Only);
VM Bothwell St (Router + Monitoring only);VM Bothwell St (Router + Monitoring only);86.188.250.66;192.168.81.1 / 255.255.255.0;FortiGate 100F;FG100FTK23028223;v6.4.6 build6131 (GA);177 Bothwell Street;N/A;N/A;N/A;N/A;Online;https://passwordstate.clouddirect.net/pid=20340;Yes;Yes (Ping Only);
JCI - CYB Rotherham S60 1QP;Virgin Money - Rotherham;46.247.121.136;192.168.56.1/255.255.255.0;Bintec  RS353a;RNQBBB019400149;V.10.2.6.102;1 Frederick Street S60 1QP;Rotherham;S60 1QP;1709377266;FTTC;Online;https://passwordstate.clouddirect.net/pid=20409;Yes;Yes (Ping Only);
JCI - CYB Hartlepool;JCI - CYB Hartlepool-1;212.19.82.160;192.168.52.1/255.255.255.0;Bintec  RS353a;RNQFDM020150098;V.10.2.8.101;118-120 York Road TS26 9DE;Hartlepool;TS26 9DE;N/A;LL;Online;https://passwordstate.clouddirect.net/pid=20410;Yes;Yes (Ping Only);
JCI - Yorkshire Bank - Coventry;JCI - Yorkshire Bank - Coventry;77.89.148.82;192.168.70.1/255.255.255.0;Bintec  RS353a;RNQFDM020150082;V.10.2.8.101;7-11 High Street Coventry CV1 5SB;Coventry;CV1 5SB;N/A;LL;Online;https://passwordstate.clouddirect.net/pid=20411;Yes;Yes (Ping Only);
Johnson Controls - Northumberland Street;Virgin Money Newcastle;81.137.245.119;192.168.75.1/255.255.255.0;bintec  RS353aw;RNRFDN021110118;V.10.2.6.100;132-134 Northumberland St, Newcastle upon Tyne, NE1 7DG;Newcastle;;0191 222 0185;ADSL;Online;https://passwordstate.clouddirect.net/pid=20412;Yes;Yes (Ping Only);
VM_Killmarnock;VM_Killmarnock;46.247.26.117;192.168.80.1/255.255.255.0;Draytek Vigor2927;223000000000;4.3.2;Clydesdale Bank Chambers, 30 The Foregate, KILMARNOCK, KA1 1JH, United Kingdom (GBR);;;;LL;Online;https://passwordstate.clouddirect.net/pid=20414;Yes;Yes (Ping Only);
VM_Paragon_Street;VM_Paragon_Street;213.249.145.58;192.168.85.1/255.255.255.0;Draytek Vigor2927;2,39E+11;4.4.2.2;Paragon Street, Hull, HU1 3ND, United Kingdom (GBR);;;;LL;Online;https://passwordstate.clouddirect.net/pid=20415;Yes;Yes (Ping Only);
VM Holderness;VM_Holderness;213.249.145.62;192.168.83.1/255.255.255.252;Draytek Vigor2927;235000000000;4.4.2.2;Holderness Road, Hull, HU9 2AA, United Kingdom (GBR);;;;;Online;https://passwordstate.clouddirect.net/pid=20416;Yes;Yes (Ping Only);
JCI - CYB Cross Gates;JCI - CYB Cross Gates;212.241.207.128;192.168.51.1/255.255.255.0;Bintec  RS353a;RNQFDM020150243;V.10.2.9.100;Leeds, Cross Gates;Leeds;;;LL;Online;https://passwordstate.clouddirect.net/pid=20417;Yes;Yes (Ping Only);
JCI - CYB Pudsey;JCI - CYB Pudsey;46.247.122.55;192.168.53.1/255.255.255.0;Bintec  RS353a;RNQBBB019400181;V.10.2.6.102;Yorkshire Bank Plc, Wavergreen, Pudsey, LS287BG, United Kingdom;LS28;7BG;;Fluidone FTTC;Online;https://passwordstate.clouddirect.net/pid=20418;Yes;Yes (Ping Only);
VM-Chester;JCI - Virgin Money Chester;46.247.122.67;192.168.69.1/255.255.255.0;Bintec  RS353a;RNQFDM020150104;V.10.2.8.101;CH1 3EQ;;;;;Offline;https://passwordstate.clouddirect.net/pid=20419;Yes;Yes (Ping Only);
Hartlepool;JCI - CYB Hartlepool-2;212.19.82.160;192.168.52.1/255.255.255.0;Bintec  RS353a;RNQFDM020150098;V.10.2.8.101;118-120 York Road TS26 9DE;;;;LL;Online;https://passwordstate.clouddirect.net/pid=20413;Yes;Yes (Ping Only);
VM Bradford;VM_Bradford;46.247.26.179;192.168.82.1/24;Draytek Vigor2927;234000000000;4.4.2.2;14 Broadway, Bradford, West Yorkshire, BD1 1EZ;Bradford;BD1 1EZ;;;Online;https://passwordstate.clouddirect.net/pid=20420;Yes;Yes (Ping Only);
